Comment,Sentiment
"If only people would just take a step back and not make this case about them, because it wasn't about anyone except the two people in that situation.  To lump yourself into this mess and take matters into your own hands makes these kinds of protests selfish and without rational thought and investigation.  The guy in this video is heavily emotional and hyped up and wants to be heard, and when he gets heard he just presses more and more.  He was never out to have a reasonable discussion.  Kudos to the Smerconish for keeping level the whole time and letting Masri make himself out to be a fool.  How dare he and those that tore that city down in protest make this about themselves and to dishonor the entire incident with their own hate.  By the way, since when did police brutality become an epidemic?  I wish everyone would just stop pretending like they were there and they knew EXACTLY what was going on, because there's no measurable amount of people that honestly witnessed this incident, so none of us have a clue on which way this whole issue should have swung.  The grand jury were the most informed, we have to trust the majority rule was the right course of action and let it be.  Also, thank you to the 99.999% of police officers in America that actually serve & protect, even if you're a bit of a jerk when you pull me over, I respect your job and know that someone has to do it and that many people are going to pout about being held accountable to their actions.  People hate police until they need an officer or two around in an emergency.",0.13220634920634922
Law enforcement is not trained to shoot to apprehend.  They are trained to shoot to kill.  And I thank Wilson for killing that punk bitch.,0.0
"
Dont you reckon them 'black lives matter' banners being held by white cunts is  kinda patronizing and ironically racist. could they have not come up with somethin better.. or is it just what white folks do to give them selves pride. 'ooo look at me im being nice for the black people' why does it always have to be about race actually the whole world is pussyfootin around for fear of being racist. its fuckin daft man.",0.12083333333333335
"There are a very large number of people who do not like police officers. They are called Criminals and its the reason we have police officers. The fact that Criminals do not like police officers is a testament to the good work that police officers do in protecting the public. When our children or our family are in danger, we do not hessitate to call for help, and we call the Police. Its about time people stopped complaining and started to give the Police some respect for the hard work and dedication that often requires them to put their lives on the line, to serve the public.",0.13738095238095238
"The Arab dude is absolutely right, he should have not been shot 6 extra time. Shoot him once if hes attacking you and that would stop his attack. Shoot him twice if he's still attacking you, but six times? That is shoot to kill in my opinion. ",0.14285714285714285
here people his facebook is https://www.facebook.com/bassem.masri.520 he has ties with isis and other terrorist groups he is a muslim extremist ,-0.125
"Check out this you tube post. ""Black man goes on an epic rant against Ferguson rioters.""

Although his message is delivered with childish, cartoon-ish emotions.... He is one of the very few African American's who gets it.",-0.08777777777777777
I would LOVE to see this pussy go to Staten Island and spit on a cop. I would LOVE to see it happen. Mike Brown was a strong arm thug and people are burning Ferguson down. Eric Garnier did nothing wrong and was choked to death. No protest on mafia controlled Staten Island. No burning cars. Nothing. ,0.15555555555555553
I agree with the protestor.,0.0
mike browns father was made to say that boooshit,0.0
the guy on the right is so on point. don't judge on his speaking abilities but judge him on his messege! you racist fucks can suck my dick. and like always the media focusing on the thing that don't matter. CNN is shit.,0.07857142857142854
"moral of the story, don't reach for a cops gun because you're probably gunna get shot, white or black",-0.05555555555555555
Masri is about as close as you can get to ISIS in America.  ,0.0
We all know with the chimpers there is no compassion in their mud pumping hearts. ,0.0
"""I can believe whatever I wanna believe, I don't care what any of them have to say.""
Bassem Masri, you are an idiot.",-0.8
Bassem Masri is a terrorist part of isis,0.0
I would'nt waist my time trying to reason with this Police spitting Thug.  Trying to defend Criminal Brown is a losing matter.  The Grand Jury has made they're decision.   Live with it.,0.07878787878787878
"I wish mr masri was dead,,",-0.2
"Thus, with a collapse of the USA, only two possibilities can be considered, whereby, with the one, it boils down to a dictatorship with evil reprisals, while the other possibility may be a new reconstruction, if people who are fundamentally conscious of their responsibilities attain government and really do everything to bring about an effective and valuable new start. But whether this will actually occur, is currently extremely questionable, because presently, in a totalitarian manner, everything is directed towards interests which are economic, military, political and cultural – as well as towards that which is strict fundamentalist religious-sectarian – and based on enormous lies and devious, misanthropic, criminal and felonious machinations in every imaginable regard. This also means that the population of the USA is spied upon by the secret services and even severely within the neighbourhoods, and so forth, and, in every possible manner being restricted in its freedom, and this is in addition to the violence, as it emerges in some form or other, both openly and covertly.﻿",-0.06058310376492195
"You actually CAN shout ""fire"" in a crowded theater. Christopher Hitchens demonstrated this in his talk about ""free speech."" Look it up. The interviewee is correct. Cops serve the public, not the other way around. And it is consistent with serving that public that the police department represent that public's race and ethnicity in its ranks. Hire a bunch of big, tough, black guys to the police department and you will have fewer blacks being shot to death by a puny white guy who felt humiliated when he got bitch slapped by a teenager. ",-0.0027777777777777753
"I think ,he kill him",0.0
LEGALIZE MARIJUANA! Then problems will stop,0.0
1 word: Provocateur........,0.0
Lol. This is what happens when the greedy rich slime keep the masses uneducated & ignorant. Now deal with the stupid that you created. Trying to reason with the irrational is an exercise in futility. Get the popcorn ready bc it's about to boil over. If you fall for the talk you will fall just walking. ,0.14375000000000004
"The legal system is inherently racist, same as this CNN reporter",0.1
He looks ready to cut heads off he must be a isis sympathizer and I'm going to say maybe 5% care about the issue at hand and other 95% just want to go loot stores and fuck shit up...,-0.13125
"lol, ""shoot to apprehend"". He is an idiot.",0.0
"This case has overshadowed the cops that murdered a kid with a fake sword in Saratoga Springs, Utah. I am just as much outraged by the Mike brown case. The murder that happened in Utah was just about the same deal. Cops are provided with non lethal weapons. The shooting in Utah unwarranted because he ran, don't know why he ran but if you lunged at the police with the fake sword you should have taken that opportunity for immediate action right then. He ran and was shot 6 times in the back. We know a large group of cops are corrupt and these murderers are nothing new. Though I have ran from the police many times when I was in my teens, cops just pursue and find him hiding some where. Not just put 6 bullets in the back ending a life. They said in some paper, Saratoga Springs has about 5% of black population.. I have been through there and I would say they were off by about 5%. ",-0.10233100233100233
This man is a zionist jew look at ypu can see the jewnesss in his face  cnn only employ zionist sympathisers and neo-con racists and wolf blitzer is the emplpyeee ,0.0
"""There is blood on the street but you are worried about words"" .... we are ALL getting very tired with the way mainstream media is treating us like idiots who will follow their condescending, irrelevant, distracting, disparaging narrative... Step up CNN",-0.6066666666666667
"stop being criminals and you wont get shot, that simple",0.0
I LIKE TURTLES!,0.0
Massri needs an education.,0.0
CNN mother fuckers....fuck you peace of shit!,-0.25
"Hers my statement, I think ali sheep butt fucker masri should take an ak and go fight in syria..",0.0
Hahahahaha.  This guy is Ed Bassmaster's character ALWAYS TESTE. Ed Bassmaster has a semi-retarded character who is cross-eyed just like this guy,0.2
How do these childish cops sleep at night ?,-0.2
A completely idiot having his minutrs of fame,-0.8
I hope to god you guys is still not falling for the same ol banana in the tailpipe bullshit news that they're giving you,0.0
CNN is such Bullcrap!,0.0
"Alright. This entire case is crap. All of these people who are saying that white people are being racist, and calling them bad names is just as ""racist"", as you would like to call it, as us. There have been extensive investigations that prove that this boy's death was out of self defense. However, I am not defending the whole KKK thing. But, I am defending the helpless citizens of Ferguson. This boy died. I don't care if he was white or black. What I do care about is how the people in Ferguson are treating their town. If they really cared about this incident, they would hold memorials to express their feelings.This is not helping themselves get justice. What really matters is that this boy is dead. Something HAS been done about it. The Grand Jury has decided. Can it just be over?",-0.0638888888888889
This guy doesn't know what happened he didn't have his hands up,0.0
Ayy CNN are lookin like pussies ,0.0
Smirconnish is the most even-handed guy in the world.  This guy Masri is an idiot.,-0.15000000000000002
